ward,FORD ROB,SMITHERMAN GEORGE,PANTALONE JOE,Total
1,9435,2131,742,13652
2,14325,2098,864,17996
3,12913,4704,1563,19812
4,14573,4728,1457,21415
5,13789,7673,2170,24452
6,11915,5894,2110,20785
7,7041,2233,1640,12206
8,5303,2502,1439,11149
9,7045,2155,1948,12343
10,9772,4458,1494,16944
11,9619,3511,1920,16112
12,7536,2747,1979,13538
13,7679,10232,3599,22127
14,4788,7949,3882,17336
15,8923,4282,2388,16867
16,8074,9505,1772,19810
17,6006,4407,2975,14399
18,3973,5697,3756,14422
19,4630,9732,5801,20882
20,5476,13151,4129,23614
21,5818,8979,2602,18056
22,7903,13411,2443,24454
23,10959,8055,2181,22264
24,9670,6181,1565,18391
25,9865,9138,1639,21241
26,8322,8272,1647,19915
27,7068,17335,2909,28176
28,4937,12513,2414,20819
29,6493,7658,2863,17899
30,5106,10492,3341,19797
31,7942,6459,2889,18165
32,7639,11812,3440,23576
33,7525,4465,1435,14388
34,8581,5403,1669,16626
35,9390,4288,1880,16835
36,9606,5682,2096,18201
37,10809,4892,1695,18548
38,10509,5107,1427,18297
39,9519,3438,853,14954
40,10094,4208,1410,17086
41,11382,4638,949,18363
42,10071,6798,1259,20474
43,8818,4557,1332,15818
44,12660,6262,1916,21780
